,Image,F1,Jaccard,Recall,Precision,Accuracy
0,archive\images\833.png,0.9137931034482758,0.8412698412698413,0.9330985915492958,0.8952702702702703,0.99847412109375
1,archive\images\2069.png,0.8169014084507042,0.6904761904761905,0.9872340425531915,0.6966966966966966,0.99365234375
2,archive\images\3038.png,0.8109375,0.6819973718791065,0.8084112149532711,0.8134796238244514,0.996307373046875
3,archive\images\1169.png,0.5910488554834301,0.41949563530552864,0.9321120689655172,0.43271635817908954,0.9817352294921875
4,archive\images\501.png,0.9611360239162929,0.9251798561151079,0.946980854197349,0.9757207890743551,0.99920654296875
5,archive\images\31.png,0.9671232876712329,0.9363395225464191,0.9379982285208148,0.998114985862394,0.9989013671875
6,archive\images\2242.png,0.8837803320561942,0.7917620137299771,0.8337349397590361,0.9402173913043478,0.9930572509765625
7,archive\images\1014.png,0.9387755102040816,0.8846153846153846,0.887240356083086,0.9966666666666667,0.9994049072265625
8,archive\images\1322.png,0.8648648648648648,0.7619047619047619,0.7619047619047619,1.0,0.9993133544921875
9,archive\images\1779.png,0.9194253591505309,0.8508670520231214,0.9658792650918635,0.8772348033373063,0.9980316162109375
10,archive\images\1217.png,0.9552715654952078,0.9143730886850153,0.9583333333333334,0.9522292993630573,0.99957275390625
11,archive\images\1956.png,0.9161940768746062,0.8453488372093023,0.8492990654205608,0.9945280437756497,0.9979705810546875
12,archive\images\108.png,0.9551724137931035,0.9141914191419142,0.915918752952291,0.997941327843541,0.997222900390625
13,archive\images\1258.png,0.9522240527182867,0.9088050314465409,0.9829931972789115,0.9233226837060703,0.9995574951171875
14,archive\images\571.png,0.9748743718592965,0.9509803921568627,0.9651741293532339,0.9847715736040609,0.99969482421875
15,archive\images\1888.png,0.3685932388222464,0.22593582887700533,0.9602272727272727,0.22807017543859648,0.982330322265625
16,archive\images\35.png,0.9285714285714286,0.8666666666666667,0.9512195121951219,0.9069767441860465,0.999725341796875
17,archive\images\2162.png,0.7366836498378879,0.583134738771769,0.9648164998483469,0.5958044577636261,0.965301513671875
18,archive\images\2582.png,0.9502655721873491,0.9052437902483901,0.9488910318225651,0.9516441005802708,0.9984283447265625
19,archive\images\1279.png,0.6855123674911661,0.521505376344086,0.521505376344086,1.0,0.9904937744140625
20,archive\images\749.png,0.8463050314465409,0.7335604770017036,0.8000743218134523,0.8982060909470171,0.988067626953125
21,archive\images\2122.png,0.06440071556350625,0.033271719038817,0.056074766355140186,0.07563025210084033,0.9600982666015625
22,archive\images\2928.png,0.8947068867387593,0.8094747682801235,0.9943074003795066,0.8132436627004656,0.994354248046875
23,archive\images\74.png,0.9684171869261844,0.9387682449270203,0.9843225083986562,0.953017708709794,0.99737548828125
24,archive\images\788.png,0.8668365294354298,0.7649704142011834,0.765332701870708,0.9993815708101422,0.9848480224609375
25,archive\images\707.png,0.9771060235607913,0.9552368535419383,0.9821268990169795,0.9721362229102167,0.9984283447265625
26,archive\images\1678.png,0.9488188976377951,0.9026217228464419,0.9506903353057199,0.9469548133595285,0.99920654296875
27,archive\images\909.png,0.875,0.7777777777777778,0.7788018433179723,0.9983122362869198,0.984527587890625
28,archive\images\218.png,0.8003442340791739,0.667144906743185,0.976890756302521,0.6778425655976676,0.9964599609375
